,imName,x,y
0,BAILa2014a_000001,350,1455
1,BAILa2014a_000001,849,1327
2,BAILa2014a_000001,1129,1042
3,BAILa2014a_000001,73,1157
4,BAILa2014a_000001,476,934
5,BAILa2014a_000001,898,905
6,BAILa2014a_000001,1233,841
7,BAILa2014a_000001,1579,806
8,BAILa2014a_000001,1923,863
9,BAILa2014a_000001,1982,1071
10,BAILa2014a_000001,1909,646
11,BAILa2014a_000001,1754,703
12,BAILa2014a_000001,1665,607
13,BAILa2014a_000001,1746,555
14,BAILa2014a_000001,2015,570
15,BAILa2014a_000001,1786,518
16,BAILa2014a_000001,1950,499
17,BAILa2014a_000001,1877,416
18,BAILa2014a_000001,1741,454
19,BAILa2014a_000001,1601,442
20,BAILa2014a_000001,1508,481
21,BAILa2014a_000001,1444,580
22,BAILa2014a_000001,1373,656
23,BAILa2014a_000001,1216,693
24,BAILa2014a_000001,28,830
25,BAILa2014a_000001,343,745
26,BAILa2014a_000001,400,624
27,BAILa2014a_000001,510,551
28,BAILa2014a_000001,742,615
29,BAILa2014a_000001,817,730
30,BAILa2014a_000001,849,518
31,BAILa2014a_000001,1122,546
32,BAILa2014a_000001,1024,469
33,BAILa2014a_000001,751,420
34,BAILa2014a_000001,796,336
35,BAILa2014a_000001,776,255
36,BAILa2014a_000001,689,277
37,BAILa2014a_000001,201,540
38,BAILa2014a_000001,92,477
39,BAILa2014a_000001,43,403
40,BAILa2014a_000001,34,312
41,BAILa2014a_000001,147,374
42,BAILa2014a_000001,87,297
43,BAILa2014a_000001,186,285
44,BAILa2014a_000001,232,383
45,BAILa2014a_000001,439,487
46,BAILa2014a_000001,530,435
47,BAILa2014a_000001,259,346
48,BAILa2014a_000001,141,310
49,BAILa2014a_000001,306,290
50,BAILa2014a_000001,636,319
51,BAILa2014a_000001,525,369
52,BAILa2014a_000001,887,408
53,BAILa2014a_000001,1049,293
54,BAILa2014a_000001,854,285
55,BAILa2014a_000001,946,364
56,BAILa2014a_000001,742,361
57,BAILa2014a_000001,513,332
58,BAILa2014a_000001,1186,555
59,BAILa2014a_000001,1103,418
60,BAILa2014a_000001,1304,481
61,BAILa2014a_000001,1387,398
62,BAILa2014a_000001,1521,359
63,BAILa2014a_000001,1629,325
64,BAILa2014a_000001,1806,369
65,BAILa2014a_000001,1272,422
66,BAILa2014a_000001,1322,334
67,BAILa2014a_000001,1172,386
68,BAILa2014a_000001,609,379
69,BAILa2014a_000001,370,374
70,BAILa2014a_000001,456,282
71,BAILa2014a_000001,1963,357
72,BAILa2014a_000001,1877,339
73,BAILa2014a_000001,1675,312
74,BAILa2014a_000001,1592,400
75,BAILa2014a_000001,1731,364
76,BAILa2014a_000001,1240,248
77,BAILa2014a_000001,1156,280
78,BAILa2014a_000001,1066,234
79,BAILa2014a_000001,1051,325
80,BAILa2014a_000001,997,322
81,BAILa2014a_000001,601,293
82,BAILa2014a_000001,390,300
83,BAILa2014a_000001,402,330
84,BAILa2014a_000001,132,538
85,BAILa2014a_000001,540,278
86,BAILa2014a_000001,206,312
87,BAILa2014a_000001,887,332
88,BAILa2014a_000001,1076,352
89,BAILa2014a_000001,1152,319
90,BAILa2014a_000001,1208,329
91,BAILa2014a_000001,1540,425
92,BAILa2014a_000001,1833,334
93,BAILa2014a_000001,2002,425
94,BAILa2014a_000001,341,442
95,BAILa2014a_000001,2036,401
96,BAILa2014a_000001,2019,499
0,BAILa2014a_000003,1949,869
1,BAILa2014a_000003,1832,684
2,BAILa2014a_000003,1569,779
3,BAILa2014a_000003,2023,966
4,BAILa2014a_000003,2019,1264
5,BAILa2014a_000003,1185,1380
6,BAILa2014a_000003,920,1334
7,BAILa2014a_000003,955,1032
8,BAILa2014a_000003,957,863
9,BAILa2014a_000003,1280,856
10,BAILa2014a_000003,1177,675
11,BAILa2014a_000003,833,720
12,BAILa2014a_000003,708,662
13,BAILa2014a_000003,529,620
14,BAILa2014a_000003,439,738
15,BAILa2014a_000003,467,876
16,BAILa2014a_000003,55,855
17,BAILa2014a_000003,96,1112
18,BAILa2014a_000003,79,572
19,BAILa2014a_000003,237,536
20,BAILa2014a_000003,221,464
21,BAILa2014a_000003,268,370
22,BAILa2014a_000003,340,414
23,BAILa2014a_000003,414,429
24,BAILa2014a_000003,580,472
25,BAILa2014a_000003,661,460
26,BAILa2014a_000003,878,572
27,BAILa2014a_000003,920,503
28,BAILa2014a_000003,1022,460
29,BAILa2014a_000003,1178,414
30,BAILa2014a_000003,1249,542
31,BAILa2014a_000003,1310,459
32,BAILa2014a_000003,1490,575
33,BAILa2014a_000003,1439,667
34,BAILa2014a_000003,1722,588
35,BAILa2014a_000003,1556,467
36,BAILa2014a_000003,1655,431
37,BAILa2014a_000003,1786,464
38,BAILa2014a_000003,1873,516
39,BAILa2014a_000003,1982,634
40,BAILa2014a_000003,2041,552
41,BAILa2014a_000003,1850,464
42,BAILa2014a_000003,2034,514
43,BAILa2014a_000003,1944,480
44,BAILa2014a_000003,2026,447
45,BAILa2014a_000003,1908,408
46,BAILa2014a_000003,1829,418
